GHGN-1078-MONOMER	GHGN-1078	P0A4I9	RNA polymerase sigma factor RpoD	
CPLXHGN-1			predicted ABC transporter of spermidine/putrescine	
CPLXHGN-2			predicted ABC transporter of MN+2	
CPLXHGN-3			predicted ATP-driven transporter of phosphate	
CPLXHGN-4			predicted ABC transporter of phosphate	
CPLXHGN-5			predicted ABC transporter of a maltodextrin	
CPLXHGN-6			predicted ABC transporter of ZN+2	
CPLXHGN-7			predicted ATP-driven transporter of CO+2	
CPLXHGN-8			predicted transporter of D-mannose	
CPLXHGN-9			predicted ABC transporter of an oligopeptide	
CPLXHGN-10			predicted transporter of MANNITOL	
CPLXHGN-11			predicted transporter of lactose	
CPLXHGN-12			predicted ABC transporter of a standard alpha amino acid	
CPLXHGN-13			predicted ABC transporter of a standard alpha amino acid	
CPLXHGN-14			predicted ABC transporter of a standard alpha amino acid	
CPLXHGN-15			predicted ABC transporter of a standard alpha amino acid	
CPLXHGN-16			predicted ABC transporter of a standard alpha amino acid	
CPLXHGN-17			predicted ABC transporter of a standard alpha amino acid	
CPLXHGN-18			predicted ABC transporter of a standard alpha amino acid	
CPLXHGN-19			predicted ABC transporter of a standard alpha amino acid	
CPLXHGN-20			predicted ABC transporter of a sugar	
CPLXHGN-21			predicted ABC transporter of a sugar	
CPLXHGN-22			predicted ABC transporter of a sugar	
GHGN-1967-MONOMER	GHGN-1967	P06653	autolysin	
GHGN-1790-MONOMER	GHGN-1790	Q97P61	MutT/nudix family protein	
GHGN-132-MONOMER	GHGN-132	Q97T30	orf	
GHGN-1365-MONOMER	GHGN-1365	P0A3Q9	bifunctional methionine sulfoxide reductase A/B	
GHGN-786-MONOMER	GHGN-786	Q97RM0	glutathione reductase	
GHGN-401-MONOMER	GHGN-401	Q97SH3	transcriptional regulator	
GHGN-1292-MONOMER	GHGN-1292	Q97QD2	signal recognition particle protein	
GHGN-1966-MONOMER	GHGN-1966	Q97NS7	type II restriction-modification system regulatory protein	
GHGN-1789-MONOMER	GHGN-1789	Q97P62	50S ribosomal protein L11 methyltransferase	PrmA
GHGN-888-MONOMER	GHGN-888	Q97RD9	orf	
GHGN-179-MONOMER	GHGN-179	P0A3R1	DNA mismatch repair protein	MutL
GHGN-1965-MONOMER	GHGN-1965	Q97NS8	orf	
GHGN-785-MONOMER	GHGN-785	Q97RM1	orf	
GHGN-1788-MONOMER	GHGN-1788	Q97P63	16S ribosomal RNA methyltransferase RsmE	
GHGN-1964-MONOMER	GHGN-1964	Q97NS9	orf	
GHGN-1291-MONOMER	GHGN-1291	Q97QD3	uracil permease	
GHGN-887-MONOMER	GHGN-887	Q97RE0	orf	
GHGN-131-MONOMER	GHGN-131	Q97T31	orf	
GHGN-1364-MONOMER	GHGN-1364	Q97Q70	ABC transporter ATP-binding protein/permease	
GHGN-1787-MONOMER	GHGN-1787	Q97P64	oligoendopeptidase F	
GHGN-784-MONOMER	GHGN-784	Q97RM2	orf	
GHGN-1963-MONOMER	GHGN-1963	Q97NT0	orf	
GHGN-400-MONOMER	GHGN-400	Q97SH4	PTS system mannitol-specific transporter subunit IIBC	
GHGN-1786-MONOMER	GHGN-1786	Q97P65	orf	
GHGN-1290-MONOMER	GHGN-1290	Q97QD4	16S rRNA methyltransferase GidB	GidB
GHGN-1962-MONOMER	GHGN-1962	Q97NT1	orf	
GHGN-886-MONOMER	GHGN-886	Q97RE1	thiamine biosynthesis protein ThiI	
GHGN-783-MONOMER	GHGN-783	Q97RM3	orf	
GHGN-178-MONOMER	GHGN-178	Q97SZ0	orf	
GHGN-1961-MONOMER	GHGN-1961	Q97NT2	orf	
GHGN-1785-MONOMER	GHGN-1785	Q97P66	aquaporin	
GHGN-1363-MONOMER	GHGN-1363	Q97Q71	ABC transporter ATP-binding protein/permease	
GHGN-397-MONOMER	GHGN-397	I6L8Q3	choline binding protein F	
GHGN-1289-MONOMER	GHGN-1289	Q97QD5	orf	
GHGN-1960-MONOMER	GHGN-1960	Q97NT3	orf	
GHGN-782-MONOMER	GHGN-782	Q2MGI3	ATP cone domain-containing protein	
GHGN-130-MONOMER	GHGN-130	Q97T32	orf	
GHGN-1784-MONOMER	GHGN-1784	Q97P67	7-cyano-7-deazaguanine reductase	
GHGN-885-MONOMER	GHGN-885	Q97RE2	class-V aminotransferase	
GHGN-1959-MONOMER	GHGN-1959	Q97NT4	orf	
GHGN-1288-MONOMER	GHGN-1288	Q97QD6	heat shock protein HtpX	
GHGN-1783-MONOMER	GHGN-1783	Q97P68	thioredoxin	
GHGN-781-MONOMER	GHGN-781	Q97RM4	tRNA (guanine-N(1)-)-methyltransferase	TrmD
GHGN-1958-MONOMER	GHGN-1958	Q97NT5	IS1381 transposase protein B	
GHGN-396-MONOMER	GHGN-396	Q97SH5	choline binding protein G	
GHGN-177-MONOMER	GHGN-177	Q97SZ1	ROK family protein	
GHGN-884-MONOMER	GHGN-884	Q97RE3	orf	
GHGN-1362-MONOMER	GHGN-1362	Q97Q72	chlorohydrolase	
GHGN-1782-MONOMER	GHGN-1782	Q97P69	orf	
GHGN-1957-MONOMER	GHGN-1957	Q97NT6	IS1381 transposase protein A	
GHGN-129-MONOMER	GHGN-129	Q97T33	competence-induced protein Ccs1	
GHGN-780-MONOMER	GHGN-780	Q97RM5	16S rRNA-processing protein RimM	RimM
GHGN-1287-MONOMER	GHGN-1287	Q97QD7	ABC transporter ATP-binding protein	
GHGN-1781-MONOMER	GHGN-1781	Q97P70	transcriptional regulator	
GHGN-1956-MONOMER	GHGN-1956	Q97NT7	orf	
GHGN-883-MONOMER	GHGN-883	P64166	SpoE family protein	
GHGN-779-MONOMER	GHGN-779	Q97RM6	orf	
GHGN-1955-MONOMER	GHGN-1955	Q97NT8	orf	
GHGN-1779-MONOMER	GHGN-1779	Q97P71	cell wall surface anchor family protein	
GHGN-395-MONOMER	GHGN-395	Q97SH6	orf	
GHGN-1286-MONOMER	GHGN-1286	Q97QD8	orf	
GHGN-1361-MONOMER	GHGN-1361	P66050	50S ribosomal protein L10	RplJ
GHGN-128-MONOMER	GHGN-128	Q97T34	orf	
GHGN-176-MONOMER	GHGN-176	Q97SZ2	orf	
GHGN-1954-MONOMER	GHGN-1954	Q97NT9	orf	
GHGN-1778-MONOMER	GHGN-1778	Q97P72	glycosyl transferase family protein	
GHGN-882-MONOMER	GHGN-882	Q97RE5	PTS system fructose specific transporter subunit IIABC	
GHGN-778-MONOMER	GHGN-778	Q97RM7	KH domain-containing protein	
GHGN-1953-MONOMER	GHGN-1953	P0C2J9	pneumolysin	
GHGN-1285-MONOMER	GHGN-1285	Q97QD9	orf	
GHGN-1777-MONOMER	GHGN-1777	Q97P73	glycosyl transferase family protein	
GHGN-777-MONOMER	GHGN-777	P66444	30S ribosomal protein S16	RpsP
GHGN-1952-MONOMER	GHGN-1952	P67186	orf	
GHGN-1360-MONOMER	GHGN-1360	P0A471	50S ribosomal protein L7/L12	RplL
GHGN-881-MONOMER	GHGN-881	Q97RE6	1-phosphofructokinase	
GHGN-393-MONOMER	GHGN-393	I6L8V4	DNA-binding response regulator	
GHGN-1775-MONOMER	GHGN-1775	Q97P74	orf	
GHGN-776-MONOMER	GHGN-776	Q97RM9	orf	
GHGN-127-MONOMER	GHGN-127	Q97T35	metallo-beta-lactamase superfamily protein	
GHGN-1951-MONOMER	GHGN-1951	Q97NU1	orf	
GHGN-1284-MONOMER	GHGN-1284	Q97QE0	endonuclease III	
GHGN-174-MONOMER	GHGN-174	Q97SZ3	macrolide efflux protein	
GHGN-1774-MONOMER	GHGN-1774	Q97P75	glycosyl transferase family protein	
GHGN-1950-MONOMER	GHGN-1950	Q97NU2	MarR family transcriptional regulator	
GHGN-880-MONOMER	GHGN-880	Q97RE7	lactose phosphotransferase system repressor	
GHGN-775-MONOMER	GHGN-775	Q97RN0	orf	
GHGN-1359-MONOMER	GHGN-1359	Q97Q74	orf	
GHGN-1949-MONOMER	GHGN-1949	Q97NU3	ABC transporter permease	
GHGN-1773-MONOMER	GHGN-1773	Q97P76	glycosyl transferase family protein	
GHGN-1283-MONOMER	GHGN-1283	P65946	bifunctional pyrimidine regulatory protein PyrR/uracil phosphoribosyltransferase	
GHGN-126-MONOMER	GHGN-126	Q97T36	tRNA uridine 5-carboxymethylaminomethyl modification protein GidA	
GHGN-392-MONOMER	GHGN-392	I6L8N4	sensor histidine kinase	
GHGN-774-MONOMER	GHGN-774	Q97RN1	orf	
GHGN-1948-MONOMER	GHGN-1948	Q97NU4	ABC transporter ATP-binding protein	
GHGN-878-MONOMER	GHGN-878	Q97RE8	orf	
GHGN-1772-MONOMER	GHGN-1772	Q97P77	glycosyl transferase family protein	
GHGN-1947-MONOMER	GHGN-1947	Q97NU5	orf	
GHGN-1358-MONOMER	GHGN-1358	Q97CV5	IS1380-Spn1 transposase	
GHGN-173-MONOMER	GHGN-173	Q97SZ4	orf	
GHGN-1771-MONOMER	GHGN-1771	Q97P78	glycosyl transferase family protein	
GHGN-773-MONOMER	GHGN-773	Q97RN2	cyclophilin type peptidyl-prolyl cis-trans isomerase	
GHGN-1946-MONOMER	GHGN-1946	Q97NU6	PAP2 family protein	
GHGN-1282-MONOMER	GHGN-1282	Q97QE2	aspartate carbamoyltransferase	PyrB
GHGN-877-MONOMER	GHGN-877	Q97RE9	orf	
GHGN-1770-MONOMER	GHGN-1770	Q97P79	preprotein translocase subunit SecY	SecY
GHGN-125-MONOMER	GHGN-125	Q97T37	MutT/nudix family protein	
GHGN-1945-MONOMER	GHGN-1945	Q97NU7	orf	
GHGN-1357-MONOMER	GHGN-1357	Q97Q75	orf	
GHGN-772-MONOMER	GHGN-772	Q97RN3	ABC transporter ATP-binding protein	
GHGN-391-MONOMER	GHGN-391	Q97SH7	orf	
GHGN-1944-MONOMER	GHGN-1944	Q97NU8	orf	
GHGN-1769-MONOMER	GHGN-1769	Q97P80	orf	
GHGN-876-MONOMER	GHGN-876	I6L8S9	D-alanyl-D-alanine carboxypeptidase	
GHGN-1281-MONOMER	GHGN-1281	P63733	carbamoyl phosphate synthase small subunit	
GHGN-172-MONOMER	GHGN-172	Q97SZ5	pyridoxal-dependent decarboxylase	
GHGN-1942-MONOMER	GHGN-1942	Q97NU9	orf	
GHGN-771-MONOMER	GHGN-771	Q97RN4	VanZF-related protein	
GHGN-1768-MONOMER	GHGN-1768	Q97P81	orf	
GHGN-1356-MONOMER	GHGN-1356	Q97Q76	orf	
GHGN-1941-MONOMER	GHGN-1941	Q97NV0	thioredoxin	
GHGN-124-MONOMER	GHGN-124	Q97T38	tRNA-specific 2-thiouridylase MnmA	MnmA
GHGN-1767-MONOMER	GHGN-1767	Q97P82	orf	
GHGN-1280-MONOMER	GHGN-1280	Q97QE4	carbamoyl phosphate synthase large subunit	CarB
GHGN-770-MONOMER	GHGN-770	Q97RN5	ribosomal RNA large subunit methyltransferase N	
GHGN-1940-MONOMER	GHGN-1940	Q97NV1	orf	
GHGN-390-MONOMER	GHGN-390	Q97SH8	isopentenyl pyrophosphate isomerase	
GHGN-1766-MONOMER	GHGN-1766	Q97P83	preprotein translocase subunit SecA	
GHGN-875-MONOMER	GHGN-875	Q97RF1	intein-containing protein	
GHGN-1939-MONOMER	GHGN-1939	Q97NV2	short chain dehydrogenase/reductase family oxidoreductase	
GHGN-769-MONOMER	GHGN-769	Q97RN6	orf	
GHGN-1355-MONOMER	GHGN-1355	Q97Q77	orf	
GHGN-171-MONOMER	GHGN-171	Q97SZ6	flavoprotein	
GHGN-1279-MONOMER	GHGN-1279	I6L8R3	licD2 protein	
GHGN-1765-MONOMER	GHGN-1765	Q97P84	group 1 glycosyl transferase	
GHGN-1938-MONOMER	GHGN-1938	Q2MGG1	single-stranded DNA-binding protein	
GHGN-123-MONOMER	GHGN-123	Q97T39	surface protein A	
GHGN-874-MONOMER	GHGN-874	Q97RF2	NifU family protein	
GHGN-1937-MONOMER	GHGN-1937	Q97NV3	co-chaperonin GroES	
GHGN-768-MONOMER	GHGN-768	P0A4J6	superoxide dismutase, manganese-dependent	
GHGN-1764-MONOMER	GHGN-1764	Q97P85	orf	
GHGN-389-MONOMER	GHGN-389	Q97SH9	phosphomevalonate kinase	
GHGN-1354-MONOMER	GHGN-1354	Q97Q78	orf	
GHGN-1936-MONOMER	GHGN-1936	P0A335	molecular chaperone GroEL	
GHGN-1278-MONOMER	GHGN-1278	I6L8N8	licD1 protein	
GHGN-767-MONOMER	GHGN-767	Q97RN7	DNA polymerase III subunit delta	HolA
GHGN-1763-MONOMER	GHGN-1763	Q97P86	orf	
GHGN-873-MONOMER	GHGN-873	Q97RF3	class-V aminotransferase	
GHGN-170-MONOMER	GHGN-170	Q97SZ7	orf	
GHGN-1934-MONOMER	GHGN-1934	Q97NV5	orf	
GHGN-766-MONOMER	GHGN-766	Q9X9S0	dihydroorotate dehydrogenase 1A	
GHGN-1762-MONOMER	GHGN-1762	Q97P87	orf	
GHGN-122-MONOMER	GHGN-122	Q97T40	orf	
GHGN-1353-MONOMER	GHGN-1353	Q97Q79	orf	
GHGN-1933-MONOMER	GHGN-1933	Q97NV6	orf	
GHGN-872-MONOMER	GHGN-872	Q97RF4	orf	
GHGN-1277-MONOMER	GHGN-1277	I6L8M9	polysaccharide biosynthesis protein	
GHGN-765-MONOMER	GHGN-765	Q97RN8	orf	
GHGN-1932-MONOMER	GHGN-1932	Q97NV7	recombination regulator RecX	RecX
GHGN-1761-MONOMER	GHGN-1761	Q97P88	orf	
GHGN-1931-MONOMER	GHGN-1931	Q97NV8	RNA methyltransferase	
GHGN-871-MONOMER	GHGN-871	Q97RF5	ABC transporter ATP-binding protein	
GHGN-764-MONOMER	GHGN-764	Q97RN9	S-adenosylmethionine synthetase	
GHGN-169-MONOMER	GHGN-169	Q97SZ8	transcriptional regulator PlcR	
GHGN-1352-MONOMER	GHGN-1352	Q97Q80	orf	
GHGN-1908-MONOMER	GHGN-1908	Q97NV9	biotin--protein ligase	
GHGN-1759-MONOMER	GHGN-1759	Q97P89	mechanosensitive ion channel MscS	
GHGN-1276-MONOMER	GHGN-1276	Q97QE5	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	IspD
GHGN-121-MONOMER	GHGN-121	Q97T41	orf	
GHGN-1907-MONOMER	GHGN-1907	Q97NW0	msm operon regulatory protein	
GHGN-763-MONOMER	GHGN-763	Q97RP0	DEAD/DEAH box helicase	
GHGN-870-MONOMER	GHGN-870	Q97RF6	orf	
GHGN-1758-MONOMER	GHGN-1758	Q97P90	magnesium/cobalt transporter CorA	
